n,e,d
15.32,5.06,0
15.32,5.06,1
15.32,5.06,2
15.32,5.06,3
15.32,5.06,4
15.32,5.06,5
15.32,5.06,6
15.32,5.06,7
15.32,5.06,8
15.32,5.06,9
15.32,5.06,10
15.32,5.06,11
15.32,5.06,12
15.32,5.06,13
15.32,5.06,14
15.32,5.06,15
15.32,5.06,16
15.32,5.06,17
15.32,5.06,18
15.32,5.06,19
15.32,5.06,20
15.32,5.06,21
15.32,5.06,22
15.32,5.06,23
15.32,5.06,24
15.32,5.06,25
15.32,5.06,26
15.32,5.06,27
15.32,5.06,28
15.32,5.06,29
15.32,5.06,30
15.32,5.06,31
15.32,5.06,32
15.32,5.06,33
15.32,5.06,34
15.32,5.06,35
15.32,5.06,36
15.32,5.06,37
15.32,5.06,38
15.32,5.06,39
15.32,5.06,40
15.32,5.06,41
15.32,5.06,42
15.32,5.06,43
15.32,5.06,44
15.32,5.06,45
15.32,5.06,46
15.32,5.06,47
15.32,5.06,48
15.32,5.06,49
15.32,5.06,50
15.32,5.06,51
15.32,5.06,52
15.32,5.06,53
15.32,5.06,54
15.32,5.06,55
15.32,5.06,56
15.32,5.06,57
15.32,5.06,58
15.32,5.06,59
15.32,5.06,60
15.32,5.06,61
15.32,5.06,62
15.32,5.06,63
15.32,5.06,64
15.32,5.06,65
15.32,5.06,66
15.32,5.06,67
15.32,5.06,68
15.32,5.06,69
15.32,5.06,70
15.32,5.06,71
15.32,5.06,72
15.32,5.06,73
15.32,5.06,74
15.32,5.06,75
15.32,5.06,76
15.32,5.06,77
15.32,5.06,78
15.32,5.06,79
15.32,5.06,80
15.32,5.06,81
15.32,5.06,82
15.32,5.06,83
15.32,5.06,84
15.32,5.06,85
15.32,5.06,86
15.32,5.06,87
15.32,5.06,88
15.32,5.06,89
15.32,5.06,90
15.32,5.06,91
15.32,5.06,92
15.32,5.06,93
15.32,5.06,94
15.32,5.06,95
15.32,5.06,96
15.32,5.06,97
15.32,5.06,98
15.32,5.06,99
15.32,5.06,100
15.32,5.06,101
15.32,5.06,102
15.32,5.06,103
15.32,5.06,104
15.32,5.06,105
15.32,5.06,106
15.32,5.06,107
15.32,5.06,108
15.32,5.06,109
15.32,5.06,110
15.32,5.06,111
15.32,5.06,112
15.32,5.06,113
15.32,5.06,114
15.32,5.06,115
15.32,5.06,116
15.32,5.06,117
15.32,5.06,118
15.32,5.06,119
15.32,5.06,120
15.32,5.06,121
15.32,5.06,122
15.32,5.06,123
15.32,5.06,124
15.32,5.06,125
15.32,5.06,126
15.32,5.06,127
15.32,5.06,128
15.32,5.06,129
15.32,5.06,130
15.32,5.06,131
15.32,5.06,132
15.32,5.06,133
15.32,5.06,134
15.32,5.06,135
15.32,5.06,136
15.32,5.06,137
15.32,5.06,138
15.32,5.06,139
15.32,5.06,140
15.32,5.06,141
15.32,5.06,142
15.32,5.06,143
15.32,5.06,144
15.32,5.06,145
15.32,5.06,146
15.32,5.06,147
15.32,5.06,148
15.32,5.06,149
15.32,5.06,150
15.32,5.06,151
15.32,5.06,152
15.32,5.06,153
15.32,5.06,154
15.32,5.06,155
15.32,5.06,156
15.32,5.06,157
15.32,5.06,158
15.32,5.06,159
15.32,5.06,160
15.32,5.06,161
15.32,5.06,162
15.32,5.06,163
15.32,5.06,164
15.32,5.06,165
15.32,5.06,166
15.32,5.06,167
15.32,5.06,168
15.32,5.06,169
15.32,5.06,170
15.32,5.06,171
15.32,5.06,172
15.32,5.06,173
15.32,5.06,174
15.32,5.06,175
15.32,5.06,176
15.32,5.06,177
15.32,5.06,178
15.32,5.06,179
15.32,5.06,180
15.32,5.06,181
15.32,5.06,182
15.32,5.06,183
15.32,5.06,184
15.32,5.06,185
15.32,5.06,186
15.32,5.06,187
15.32,5.06,188
15.32,5.06,189
15.32,5.06,190
15.32,5.06,191
15.32,5.06,192
15.32,5.06,193
15.32,5.06,194
15.32,5.06,195
15.32,5.06,196
15.32,5.06,197
15.32,5.06,198
15.32,5.06,199
15.32,5.06,200
15.32,5.06,201
15.32,5.06,202
15.32,5.06,203
15.32,5.06,204
15.32,5.06,205
15.32,5.06,206
15.32,5.06,207
15.32,5.06,208
15.32,5.06,209
15.32,5.06,210
15.32,5.06,211
15.32,5.06,212
15.32,5.06,213
15.32,5.06,214
15.32,5.06,215
15.32,5.06,216
15.32,5.06,217
15.32,5.06,218
15.32,5.06,219
15.32,5.06,220
15.32,5.06,221
15.32,5.06,222
15.32,5.06,223
15.32,5.06,224
15.32,5.06,225
15.32,5.06,226
15.32,5.06,227
15.32,5.06,228
15.32,5.06,229
15.32,5.06,230
15.32,5.06,231
15.32,5.06,232
15.32,5.06,233
15.32,5.06,234
15.32,5.06,235
15.32,5.06,236
15.32,5.06,237
15.32,5.06,238
15.32,5.06,239
15.32,5.06,240
15.32,5.06,241
15.32,5.06,242
15.32,5.06,243
15.32,5.06,244
15.32,5.06,245
15.32,5.06,246
15.32,5.06,247
15.32,5.06,248
15.32,5.06,249
15.32,5.06,250
15.32,5.06,251
15.32,5.06,252
15.32,5.06,253
15.32,5.06,254
15.32,5.06,255
15.32,5.06,256
15.32,5.06,257
15.32,5.06,258
15.32,5.06,259
15.32,5.06,260
15.32,5.06,261
15.32,5.06,262
15.32,5.06,263
15.32,5.06,264
15.32,5.06,265
15.32,5.06,266
15.32,5.06,267
15.32,5.06,268
15.32,5.06,269
15.32,5.06,270
15.32,5.06,271
15.32,5.06,272
15.32,5.06,273
15.32,5.06,274
15.32,5.06,275
15.32,5.06,276
15.32,5.06,277
15.32,5.06,278
15.32,5.06,279
15.32,5.06,280
15.32,5.06,281
15.32,5.06,282
15.32,5.06,283
15.32,5.06,284
15.32,5.06,285
15.32,5.06,286
15.32,5.06,287
15.32,5.06,288
15.32,5.06,289
15.32,5.06,290
15.32,5.06,291
15.32,5.06,292
15.32,5.06,293
15.32,5.06,294
15.32,5.06,295
15.32,5.06,296
15.32,5.06,297
15.32,5.06,298
15.32,5.06,299
15.32,5.06,300
15.32,5.06,301
15.32,5.06,302
15.32,5.06,303
15.32,5.06,304
15.32,5.06,305
15.32,5.06,306
15.32,5.06,307
15.32,5.06,308
15.32,5.06,309
15.32,5.06,310
15.32,5.06,311
15.32,5.06,312
15.32,5.06,313
15.32,5.06,314
15.32,5.06,315
15.32,5.06,316
15.32,5.06,317
15.32,5.06,318
15.32,5.06,319
15.32,5.06,320
15.32,5.06,321
15.32,5.06,322
15.32,5.06,323
15.32,5.06,324
15.32,5.06,325
15.32,5.06,326
15.32,5.06,327
15.32,5.06,328
15.32,5.06,329
15.32,5.06,330
15.32,5.06,331
15.32,5.06,332
15.32,5.06,333
15.32,5.06,334
15.32,5.06,335
15.32,5.06,336
15.32,5.06,337
15.32,5.06,338
15.32,5.06,339
15.32,5.06,340
15.32,5.06,341
15.32,5.06,342
15.32,5.06,343
15.32,5.06,344
15.32,5.06,345
15.32,5.06,346
15.32,5.06,347
15.32,5.06,348
15.32,5.06,349
15.32,5.06,350
15.32,5.06,351
15.32,5.06,352
15.32,5.06,353
15.32,5.06,354
15.32,5.06,355
15.32,5.06,356
15.32,5.06,357
15.32,5.06,358
15.32,5.06,359
15.32,5.06,360
15.32,5.06,361
15.32,5.06,362
15.32,5.06,363
15.32,5.06,364
15.32,5.06,365
15.32,5.06,366
15.32,5.06,367
15.32,5.06,368
15.32,5.06,369
15.32,5.06,370
15.32,5.06,371
15.32,5.06,372
15.32,5.06,373
15.32,5.06,374
15.32,5.06,375
15.32,5.06,376
15.32,5.06,377
15.32,5.06,378
15.32,5.06,379
15.32,5.06,380
15.32,5.06,381
15.32,5.06,382
15.32,5.06,383
15.32,5.06,384
15.32,5.06,385
15.32,5.06,386
15.32,5.06,387
15.32,5.06,388
15.32,5.06,389
15.32,5.06,390
15.32,5.06,391
15.32,5.06,392
15.32,5.06,393
15.32,5.06,394
15.32,5.06,395
15.32,5.06,396
15.32,5.06,397
15.32,5.06,398
15.32,5.06,399
15.32,5.06,400
15.32,5.06,401
15.32,5.06,402
15.32,5.06,403
15.32,5.06,404
15.32,5.06,405
15.32,5.06,406
15.32,5.06,407
15.32,5.06,408
15.32,5.06,409
15.32,5.06,410
15.32,5.06,411
15.32,5.06,412
15.32,5.06,413
15.32,5.06,414
15.32,5.06,415
15.32,5.06,416
15.32,5.06,417
15.32,5.06,418
15.32,5.06,419
15.32,5.06,420
15.32,5.06,421
15.32,5.06,422
15.32,5.06,423
15.32,5.06,424
15.32,5.06,425
15.32,5.06,426
15.32,5.06,427
15.32,5.06,428
15.32,5.06,429
15.32,5.06,430
15.32,5.06,431
15.32,5.06,432
15.32,5.06,433
15.32,5.06,434
15.32,5.06,435
15.32,5.06,436
15.32,5.06,437
15.32,5.06,438
15.32,5.06,439
15.32,5.06,440
15.32,5.06,441
15.32,5.06,442
15.32,5.06,443
15.32,5.06,444
15.32,5.06,445
15.32,5.06,446
15.32,5.06,447
15.32,5.06,448
15.32,5.06,449
15.32,5.06,450
15.32,5.06,451
15.32,5.06,452
15.32,5.06,453
15.32,5.06,454
15.32,5.06,455
15.32,5.06,456
15.32,5.06,457
15.32,5.06,458
15.32,5.06,459
15.32,5.06,460
15.32,5.06,461
15.32,5.06,462
15.32,5.06,463
15.32,5.06,464
15.32,5.06,465
15.32,5.06,466
15.32,5.06,467
15.32,5.06,468
15.32,5.06,469
15.32,5.06,470
15.32,5.06,471
15.32,5.06,472
15.32,5.06,473
15.32,5.06,474
15.32,5.06,475
15.32,5.06,476
15.32,5.06,477
15.32,5.06,478
15.32,5.06,479
15.32,5.06,480
15.32,5.06,481
15.32,5.06,482
15.32,5.06,483
15.32,5.06,484
15.32,5.06,485
15.32,5.06,486
15.32,5.06,487
15.32,5.06,488
15.32,5.06,489
15.32,5.06,490
15.32,5.06,491
15.32,5.06,492
15.32,5.06,493
15.32,5.06,494
15.32,5.06,495
15.32,5.06,496
15.32,5.06,497
15.32,5.06,498
15.32,5.06,499
15.32,5.06,500
15.32,5.06,501
15.32,5.06,502
15.32,5.06,503
15.32,5.06,504
15.32,5.06,505
15.32,5.06,506
15.32,5.06,507
15.32,5.06,508
15.32,5.06,509
15.32,5.06,510
15.32,5.06,511
15.32,5.06,512
15.32,5.06,513
15.32,5.06,514
15.32,5.06,515
15.32,5.06,516
15.32,5.06,517
15.32,5.06,518
15.32,5.06,519
15.32,5.06,520
15.32,5.06,521
15.32,5.06,522
15.32,5.06,523
15.32,5.06,524
15.32,5.06,525
15.32,5.06,526
15.32,5.06,527
15.32,5.06,528
15.32,5.06,529
15.32,5.06,530
15.32,5.06,531
15.32,5.06,532
15.32,5.06,533
15.32,5.06,534
15.32,5.06,535
15.32,5.06,536
15.32,5.06,537
15.32,5.06,538
15.32,5.06,539
15.32,5.06,540
15.32,5.06,541
15.32,5.06,542
15.32,5.06,543
15.32,5.06,544
15.32,5.06,545
15.32,5.06,546
15.32,5.06,547
15.32,5.06,548
15.32,5.06,549
15.32,5.06,550
15.32,5.06,551
15.32,5.06,552
15.32,5.06,553
15.32,5.06,554
15.32,5.06,555
15.32,5.06,556
15.32,5.06,557
15.32,5.06,558
15.32,5.06,559
15.32,5.06,560
15.32,5.06,561
15.32,5.06,562
15.32,5.06,563
15.32,5.06,564
15.32,5.06,565
15.32,5.06,566
15.32,5.06,567
15.32,5.06,568
15.32,5.06,569
15.32,5.06,570
15.32,5.06,571
15.32,5.06,572
15.32,5.06,573
15.32,5.06,574
15.32,5.06,575
15.32,5.06,576
15.32,5.06,577
15.32,5.06,578
15.32,5.06,579
15.32,5.06,580
15.32,5.06,581
15.32,5.06,582
15.32,5.06,583
15.32,5.06,584
15.32,5.06,585
15.32,5.06,586
15.32,5.06,587
15.32,5.06,588
15.32,5.06,589
15.32,5.06,590
15.32,5.06,591
15.32,5.06,592
15.32,5.06,593
15.32,5.06,594
15.32,5.06,595
15.32,5.06,596
15.32,5.06,597
15.32,5.06,598
15.32,5.06,599
15.32,5.06,600
15.32,5.06,601
15.32,5.06,602
15.32,5.06,603
15.32,5.06,604
15.32,5.06,605
15.32,5.06,606
15.32,5.06,607
15.32,5.06,608
15.32,5.06,609
15.32,5.06,610
15.32,5.06,611
15.32,5.06,612
15.32,5.06,613
15.32,5.06,614
15.32,5.06,615
15.32,5.06,616
15.32,5.06,617
15.32,5.06,618
15.32,5.06,619
15.32,5.06,620
15.32,5.06,621
15.32,5.06,622
15.32,5.06,623
15.32,5.06,624
15.32,5.06,625
15.32,5.06,626
15.32,5.06,627
15.32,5.06,628
15.32,5.06,629
15.32,5.06,630
15.32,5.06,631
15.32,5.06,632
15.32,5.06,633
15.32,5.06,634
15.32,5.06,635
15.32,5.06,636
15.32,5.06,637
15.32,5.06,638
15.32,5.06,639
15.32,5.06,640
15.32,5.06,641
15.32,5.06,642
15.32,5.06,643
15.32,5.06,644
